symptom,factor_group,factor
Constipation in adults,Accompanied by,Nausea or vomiting
Constipation in adults,Accompanied by,Painful bowel movements
Constipation in adults,Accompanied by,"Pale, dry skin"
Constipation in adults,Accompanied by,"Persistent abdominal discomfort, such as cramps, gas or pain"
Constipation in adults,Accompanied by,Unexplained fatigue
Constipation in adults,Accompanied by,Unintended weight gain
Constipation in adults,Accompanied by,Unintended weight loss
Cough in adults,Cough is,Dry
Cough in adults,Cough is,Producing phlegm or sputum
Cough in adults,Problem is,New or recent
Cough in adults,Problem is,Ongoing or recurrent
Cough in adults,Problem is,Worsening or progressing
Cough in adults,Triggered or worsened by,Allergens or irritants
Cough in adults,Accompanied by,Chest pain or tightness
Cough in adults,Accompanied by,Chills or sweating
Cough in adults,Accompanied by,Difficult or painful swallowing
Cough in adults,Accompanied by,Fatigue
Cough in adults,Accompanied by,Fever
Cough in adults,Accompanied by,Headache or facial pain
Cough in adults,Accompanied by,Hoarse voice
Cough in adults,Accompanied by,Loss of appetite
Cough in adults,Accompanied by,Muscle aches
Cough in adults,Accompanied by,Runny or stuffy nose
Cough in adults,Accompanied by,Shortness of breath
Cough in adults,Accompanied by,Sneezing
Cough in adults,Accompanied by,Sore throat
Cough in adults,Accompanied by,Watery or itchy eyes
Cough in adults,Accompanied by,Wheezing
Diarrhea in adults,Problem is,Ongoing or recurrent (weeks to years)
Diarrhea in adults,Problem is,Recent (days to weeks)
Diarrhea in adults,Problem is,Sudden (hours to days)
Diarrhea in adults,Preceded by,Eating suspect food
Diarrhea in adults,Preceded by,Recent antibiotic use
Diarrhea in adults,Triggered or worsened by,Eating certain foods
Diarrhea in adults,Relieved by,Avoiding certain foods
Diarrhea in adults,Accompanied by,Abdominal pain or cramping
Diarrhea in adults,Accompanied by,Bloating or abdominal swelling
Diarrhea in adults,Accompanied by,Bloody stools
Diarrhea in adults,Accompanied by,Constipation
Diarrhea in adults,Accompanied by,Fever
Diarrhea in adults,Accompanied by,Mucus in stools
Diarrhea in adults,Accompanied by,Muscle or joint aches
Diarrhea in adults,Accompanied by,Nausea or vomiting
Diarrhea in adults,Accompanied by,Passing gas
Diarrhea in adults,Accompanied by,Unintended weight loss
Diarrhea in adults,Accompanied by,Urgency to have a bowel movement
Difficulty swallowing in adults,Swallowing,Hurts
Difficulty swallowing in adults,Swallowing,Takes effort
Difficulty swallowing in adults,Triggered or worsened by,Eating certain foods
Difficulty swallowing in adults,Accompanied by,Bad breath
Difficulty swallowing in adults,Accompanied by,Cough
Difficulty swallowing in adults,Accompanied by,Difficulty breathing
Difficulty swallowing in adults,Accompanied by,Dry mouth
Difficulty swallowing in adults,Accompanied by,Earache
Difficulty swallowing in adults,Accompanied by,Feeling of something stuck in your throat
Difficulty swallowing in adults,Accompanied by,Heartburn
Difficulty swallowing in adults,Accompanied by,Hoarse voice or difficulty speaking
Difficulty swallowing in adults,Accompanied by,Jaw pain or stiffness
Difficulty swallowing in adults,Accompanied by,Loose teeth or poorly fitting dentures
Difficulty swallowing in adults,Accompanied by,Lump in front of neck
Difficulty swallowing in adults,Accompanied by,"Mouth sores, lumps or pain"
Difficulty swallowing in adults,Accompanied by,Pain in chest or back
Difficulty swallowing in adults,Accompanied by,Regurgitation of food or sour liquid
Difficulty swallowing in adults,Accompanied by,Sore throat
Difficulty swallowing in adults,Accompanied by,Thick saliva
Difficulty swallowing in adults,Accompanied by,Unintended weight loss
Dizziness in adults,You feel,A spinning sensation
Dizziness in adults,You feel,Lightheaded or faint
Dizziness in adults,You feel,Unsteady
Dizziness in adults,Symptoms are,New or sudden
Dizziness in adults,Symptoms are,Recurrent or ongoing
Dizziness in adults,Triggered or worsened by,Change in head or body position
Dizziness in adults,Accompanied by,Anxiety
Dizziness in adults,Accompanied by,Blurred or double vision
Dizziness in adults,Accompanied by,Buzzing or ringing in ear
Dizziness in adults,Accompanied by,Buzzing or ringing (tinnitus) in only one ear
Dizziness in adults,Accompanied by,Chest pain or tightness
Dizziness in adults,Accompanied by,Confusion
Dizziness in adults,Accompanied by,Ear pain or pressure
Dizziness in adults,Accompanied by,Fever
Dizziness in adults,Accompanied by,Hearing loss
Dizziness in adults,Accompanied by,Nausea or vomiting
Dizziness in adults,Accompanied by,Numbness or weakness on one side of body
Dizziness in adults,Accompanied by,"Pain in neck, jaw, arms, shoulders or back"
Dizziness in adults,Accompanied by,Rapid or irregular heartbeat
Dizziness in adults,Accompanied by,Severe headache
Dizziness in adults,Accompanied by,Shortness of breath
Dizziness in adults,Accompanied by,Slurred speech
Dizziness in adults,Accompanied by,Sweating
Eye discomfort and redness in adults,Eye discomfort best described as,Achy
Eye discomfort and redness in adults,Eye discomfort best described as,Dry or itchy
Eye discomfort and redness in adults,Eye discomfort best described as,Gritty sensation
Eye discomfort and redness in adults,Eye discomfort best described as,Redness without actual discomfort
Eye discomfort and redness in adults,Eye discomfort best described as,Sensitivity to light
Eye discomfort and redness in adults,Eye discomfort best described as,Severe pain
Eye discomfort and redness in adults,Eye discomfort best described as,Stinging or burning sensation
Eye discomfort and redness in adults,Appearance of eye includes,Bleeding on the surface of the white of the eye
Eye discomfort and redness in adults,Appearance of eye includes,Crusted eyelashes after sleeping
Eye discomfort and redness in adults,Appearance of eye includes,Excessive tearing
Eye discomfort and redness in adults,Appearance of eye includes,"Red, painful lump on the eyelid"
Eye discomfort and redness in adults,Appearance of eye includes,Redness
Eye discomfort and redness in adults,Appearance of eye includes,Stringy mucus in or around the eye
Eye discomfort and redness in adults,Appearance of eye includes,Swelling around the eye
Eye discomfort and redness in adults,Vision problem includes,Blurred vision
Eye discomfort and redness in adults,Vision problem includes,"Dark, floating spots in vision"
Eye discomfort and redness in adults,Vision problem includes,Vision loss
Eye discomfort and redness in adults,Triggered by,Allergens or other irritants
Eye discomfort and redness in adults,Triggered by,Injury or trauma
Eye discomfort and redness in adults,Worsened by,"Dry, warm air"
Eye discomfort and redness in adults,Worsened by,Eye movement
Eye discomfort and redness in adults,Accompanied by,Runny or stuffy nose
Eye problems in adults,Problem is,Blurry distant objects
Eye problems in adults,Problem is,Blurry nearby objects
Eye problems in adults,Problem is,Blurry or blind spot in center of vision
Eye problems in adults,Problem is,Blurry vision at all distances
Eye problems in adults,Problem is,Bright zigzag lines
Eye problems in adults,Problem is,"Clouded, hazy or dim vision"
Eye problems in adults,Problem is,Double vision
Eye problems in adults,Problem is,Fading of colors
Eye problems in adults,Problem is,Flashes of light
Eye problems in adults,Problem is,Glare with bright lights
Eye problems in adults,Problem is,Halos around lights
Eye problems in adults,Problem is,Inability to distinguish certain shades of color
Eye problems in adults,Problem is,Loss of side vision
Eye problems in adults,Problem is,Objects appear crooked or distorted
Eye problems in adults,Problem is,Poor night vision
Eye problems in adults,Problem is,Progressive expansion of shadow or curtain over visual field
Eye problems in adults,Problem is,"Seeing nonexistent things, or hallucinating"
Eye problems in adults,Problem is,Sensitivity to light
Eye problems in adults,Problem is,Shimmering spots or stars
Eye problems in adults,Problem is,Spots or strings floating in field of vision
Eye problems in adults,Problem is,Tunnel vision
Eye problems in adults,Problem is,"Vision loss, partial or total"
Eye problems in adults,Problem affects,Both eyes
Eye problems in adults,Problem affects,One eye
Eye problems in adults,Vision improves somewhat with,Holding objects away from face
Eye problems in adults,Vision improves somewhat with,Holding objects close to face
Eye problems in adults,Vision improves somewhat with,Squinting
Eye problems in adults,Vision improves somewhat with,Use of bright lighting
Eye problems in adults,Onset is,Gradual or progressive
Eye problems in adults,Onset is,Recent (hours to days)
Eye problems in adults,Onset is,Sudden (seconds to minutes)
Eye problems in adults,Duration is,A few minutes
Eye problems in adults,Duration is,Usually no longer than 30 minutes
Eye problems in adults,Accompanied by,Confusion or trouble talking
Eye problems in adults,Accompanied by,Dizziness or difficulty walking
Eye problems in adults,Accompanied by,Eye pain or discomfort
Eye problems in adults,Accompanied by,Eye redness
Eye problems in adults,Accompanied by,Eyestrain
Eye problems in adults,Accompanied by,Headache
Eye problems in adults,Accompanied by,Numbness or weakness on one side of the body
Eye problems in adults,Accompanied by,Other sensory disturbances
Eye problems in adults,Accompanied by,Swelling around the eye
Foot pain or ankle pain in adults,Located in,Ankle
Foot pain or ankle pain in adults,Located in,Area along edge of toenail
Foot pain or ankle pain in adults,Located in,Back of ankle
Foot pain or ankle pain in adults,Located in,Bottom of foot
Foot pain or ankle pain in adults,Located in,Heel
Foot pain or ankle pain in adults,Located in,Middle part of foot
Foot pain or ankle pain in adults,Located in,Toe or front part of foot
Foot pain or ankle pain in adults,Located in,Whole foot
Foot pain or ankle pain in adults,Triggered or worsened by,Activity or overuse
Foot pain or ankle pain in adults,Triggered or worsened by,Ill-fitting shoes
Foot pain or ankle pain in adults,Triggered or worsened by,Injury
Foot pain or ankle pain in adults,Triggered or worsened by,Long periods of rest
Foot pain or ankle pain in adults,Accompanied by,Black-and-blue mark
Foot pain or ankle pain in adults,Accompanied by,Burning
Foot pain or ankle pain in adults,Accompanied by,Difficulty pushing off with toes
Foot pain or ankle pain in adults,Accompanied by,Feeling of instability
Foot pain or ankle pain in adults,Accompanied by,Flattened arch
Foot pain or ankle pain in adults,Accompanied by,Inability to bear weight
Foot pain or ankle pain in adults,Accompanied by,Joint deformity
Foot pain or ankle pain in adults,Accompanied by,Numbness or tingling
Foot pain or ankle pain in adults,Accompanied by,Redness
Foot pain or ankle pain in adults,Accompanied by,Stiffness
Foot pain or ankle pain in adults,Accompanied by,Swelling
Foot pain or ankle pain in adults,Accompanied by,Thickened or rough skin
Foot pain or ankle pain in adults,Accompanied by,Weakness
Foot swelling or leg swelling in adults,Pain best described as,Dull or achy
Foot swelling or leg swelling in adults,Pain best described as,Gradually worsening
Foot swelling or leg swelling in adults,Swelling occurs,Along whole limb
Foot swelling or leg swelling in adults,Swelling occurs,Around ankle or foot
Foot swelling or leg swelling in adults,Swelling occurs,Around knee
Foot swelling or leg swelling in adults,Swelling occurs,In both limbs
Foot swelling or leg swelling in adults,Swelling occurs,In one limb
Foot swelling or leg swelling in adults,Triggered or worsened by,Activity or overuse
Foot swelling or leg swelling in adults,Triggered or worsened by,Everyday activities
Foot swelling or leg swelling in adults,Triggered or worsened by,Injury
Foot swelling or leg swelling in adults,Triggered or worsened by,Movement
Foot swelling or leg swelling in adults,Preceded by,Inactivity or long periods of rest
Foot swelling or leg swelling in adults,Preceded by,Sitting or standing still for long periods
Foot swelling or leg swelling in adults,Relieved by,Walking
Foot swelling or leg swelling in adults,Accompanied by,Enlarged or purplish vein in affected leg
Foot swelling or leg swelling in adults,Accompanied by,Entire leg or calf being pale and cool
Foot swelling or leg swelling in adults,Accompanied by,Fatigue
Foot swelling or leg swelling in adults,Accompanied by,Hardening of skin in affected area
Foot swelling or leg swelling in adults,Accompanied by,Heaviness in affected limb
Foot swelling or leg swelling in adults,Accompanied by,Loss of appetite
Foot swelling or leg swelling in adults,Accompanied by,Nausea
Foot swelling or leg swelling in adults,Accompanied by,"Pain, tenderness or aching in affected area"
Foot swelling or leg swelling in adults,Accompanied by,Persistent cough
Foot swelling or leg swelling in adults,Accompanied by,Rapid or irregular heartbeat
Foot swelling or leg swelling in adults,Accompanied by,Redness and warmth in affected area
Foot swelling or leg swelling in adults,Accompanied by,Shortness of breath that may prevent sleep unless propped up
Foot swelling or leg swelling in adults,Accompanied by,Stiffness
Foot swelling or leg swelling in adults,Accompanied by,Stiffness or limited movement
Foot swelling or leg swelling in adults,Accompanied by,Swelling
Foot swelling or leg swelling in adults,Accompanied by,Swelling in abdomen or other parts of body
Headaches in adults,Pain is,Extreme
Headaches in adults,Pain is,Mild to moderate
Headaches in adults,Pain is,Moderate to severe
Headaches in adults,Pain is,Pressure or squeezing sensation
Headaches in adults,Pain is,Stabbing or burning
Headaches in adults,Pain is,Throbbing
Headaches in adults,Pain located,Around one eye or radiates from one eye
Headaches in adults,Pain located,Around your temples
Headaches in adults,Pain located,On both sides of your head
Headaches in adults,Pain located,On one side of your head
Headaches in adults,Onset is,Gradual
Headaches in adults,Onset is,Preceded by a head injury or fall
Headaches in adults,Onset is,Preceded by frequent use of pain medication
Headaches in adults,Onset is,Preceded by visual or other sensory disturbances
Headaches in adults,Onset is,Sudden
Headaches in adults,Duration of headache is,A few hours to days
Headaches in adults,Duration of headache is,A few minutes to hours
Headaches in adults,Recurrence of headache,Gradually becomes more frequent
Headaches in adults,Recurrence of headache,Is daily
Headaches in adults,Recurrence of headache,Is often the same time every day
Headaches in adults,Triggered or worsened by,Change in sleep patterns
Headaches in adults,Triggered or worsened by,Chewing
Headaches in adults,Triggered or worsened by,Clenching or grinding teeth
Headaches in adults,Triggered or worsened by,Everyday activities
Headaches in adults,Triggered or worsened by,Hormonal changes
Headaches in adults,Triggered or worsened by,Orgasm
Headaches in adults,Triggered or worsened by,Poor posture
Headaches in adults,Triggered or worsened by,Stress
Headaches in adults,Relieved by,Lying down in the dark
Headaches in adults,Relieved by,Over-the-counter pain medication
Headaches in adults,Relieved by,Rest
Headaches in adults,Accompanied by,"Change in personality, behaviors or mental status"
Headaches in adults,Accompanied by,Confusion
Headaches in adults,Accompanied by,Difficulty speaking
Headaches in adults,Accompanied by,Dizziness
Headaches in adults,Accompanied by,Fever
Headaches in adults,Accompanied by,Jaw pain
Headaches in adults,Accompanied by,Memory loss or forgetfulness
Headaches in adults,Accompanied by,Muscle or joint aches
Headaches in adults,Accompanied by,Nausea or vomiting
Headaches in adults,Accompanied by,Persistent weakness or numbness
Headaches in adults,Accompanied by,Restlessness or agitation
Headaches in adults,Accompanied by,Runny or stuffy nose
Headaches in adults,Accompanied by,Seizures
Headaches in adults,Accompanied by,Sensitivity to light or noise
Headaches in adults,Accompanied by,Stiff neck
Headaches in adults,Accompanied by,Tender scalp
Headaches in adults,Accompanied by,Vision problems
Heart palpitations in adults,Palpitations often occur when,You're anxious or stressed
Heart palpitations in adults,Palpitations often occur when,You're exerting yourself
Heart palpitations in adults,Palpitations often occur when,You're resting or going to bed
Heart palpitations in adults,Heart rate is,Faster than normal
Heart palpitations in adults,Heart rate is,Irregular or not steady
Heart palpitations in adults,Heart rate is,Slower than normal
Heart palpitations in adults,Preceded by use of,Caffeine or alcohol
Heart palpitations in adults,Preceded by use of,Cigarettes or recreational drugs
Heart palpitations in adults,Preceded by use of,Medications or herbal supplements
Heart palpitations in adults,Accompanied by,Chest pain or tightness
Heart palpitations in adults,Accompanied by,Dizziness or lightheadedness
Heart palpitations in adults,Accompanied by,Fainting
Heart palpitations in adults,Accompanied by,Headache
Heart palpitations in adults,Accompanied by,Nausea
Heart palpitations in adults,Accompanied by,Nervousness
Heart palpitations in adults,Accompanied by,Shortness of breath
Heart palpitations in adults,Accompanied by,Sudden weight loss
Heart palpitations in adults,Accompanied by,Sweating
Heart palpitations in adults,Accompanied by,Tremors
Heart palpitations in adults,Accompanied by,Trouble sleeping
Heart palpitations in adults,Accompanied by,Unexplained fatigue or weakness
Hip pain in adults,Pain is,Dull or achy
Hip pain in adults,Pain is,Located in the groin
Hip pain in adults,Pain is,Located on the outside of the hip (greater trochanter)
Hip pain in adults,Pain is,Sudden and intense
Hip pain in adults,Triggered or worsened by,Activity or overuse
Hip pain in adults,Triggered or worsened by,Applying pressure or trying to bear weight
Hip pain in adults,Triggered or worsened by,Injury
Hip pain in adults,Triggered or worsened by,Long periods of rest
Hip pain in adults,Triggered or worsened by,Movement
Hip pain in adults,Triggered or worsened by,Overuse
Hip pain in adults,Accompanied by,Decreased range of motion
Hip pain in adults,Accompanied by,Decreased range of motion such as difficulty rolling the hip or thigh outward
Hip pain in adults,Accompanied by,Locking or catching
Hip pain in adults,Accompanied by,Stiffness
Hip pain in adults,Accompanied by,Swelling
Knee pain in adults,Pain best described as,Dull or achy
Knee pain in adults,Pain best described as,Gradually worsening
Knee pain in adults,Pain best described as,Persistent
Knee pain in adults,Pain best described as,Sharp or severe
Knee pain in adults,Pain best described as,Sudden
Knee pain in adults,Located,Along one or both sides of the knee
Knee pain in adults,Located,Around the kneecap
Knee pain in adults,Located,Behind the knee
Knee pain in adults,Located,In the knee joint
Knee pain in adults,Triggered by,Everyday activities
Knee pain in adults,Triggered by,Injury
Knee pain in adults,Triggered by,Overuse
Knee pain in adults,Worsened by,Movement
Knee pain in adults,Worsened by,Prolonged sitting or standing
Knee pain in adults,Worsened by,Rest or inactivity
Knee pain in adults,Accompanied by,Bruising or discoloring
Knee pain in adults,Accompanied by,Decreased range of motion
Knee pain in adults,Accompanied by,Feeling of instability
Knee pain in adults,Accompanied by,Grating sensation
Knee pain in adults,Accompanied by,Inability to bear weight
Knee pain in adults,Accompanied by,Joint weakness
Knee pain in adults,Accompanied by,Locking or catching
Knee pain in adults,Accompanied by,Popping or snapping
Knee pain in adults,Accompanied by,Skin redness
Knee pain in adults,Accompanied by,Stiffness
Knee pain in adults,Accompanied by,Swelling
Knee pain in adults,Accompanied by,Warmth to touch
Low back pain in adults,Pain,Began suddenly
Low back pain in adults,Pain,Gradually worsens
Low back pain in adults,Pain,Started gradually
Low back pain in adults,Triggered by,Everyday activities
Low back pain in adults,Triggered by,Injury
Low back pain in adults,Triggered by,Overuse
Low back pain in adults,Worsened by,Movement
Low back pain in adults,Worsened by,Prolonged rest or inactivity
Low back pain in adults,Worsened by,Prolonged sitting or standing
Low back pain in adults,Accompanied by,Decreased range of motion or stiffness in neck
Low back pain in adults,Accompanied by,Knot or tight spot in back muscle
Low back pain in adults,Accompanied by,Loss of balance or coordination
Low back pain in adults,Accompanied by,Loss of bowel or bladder control
Low back pain in adults,Accompanied by,Muscle weakness
Low back pain in adults,Accompanied by,"Numbness or tingling in limbs, most often on both sides of the body (bilateral)"
Low back pain in adults,Accompanied by,"Numbness or tingling in limbs, most often on one side of the body (unilateral)"
Low back pain in adults,Accompanied by,"Shoulder, arm or chest pain"
Low back pain in adults,Accompanied by,Stiffness in lower back
Low back pain in adults,Accompanied by,Swelling
Low back pain in adults,Accompanied by,"Weakness, numbness or tingling in leg or foot"
Nasal congestion in adults,Nasal congestion is,New or recent
Nasal congestion in adults,Nasal congestion is,Ongoing or persistent
Nasal congestion in adults,Nasal discharge is,Clear or watery
Nasal congestion in adults,Nasal discharge is,Yellow or greenish
Nasal congestion in adults,Accompanied by,Bad breath
Nasal congestion in adults,Accompanied by,Cough
Nasal congestion in adults,Accompanied by,Ear pain
Nasal congestion in adults,Accompanied by,Fatigue
Nasal congestion in adults,Accompanied by,Fever
Nasal congestion in adults,Accompanied by,Headache or facial pain
Nasal congestion in adults,Accompanied by,"Itchy eyes, nose, mouth or throat"
Nasal congestion in adults,Accompanied by,Mild body aches
Nasal congestion in adults,Accompanied by,Nosebleeds
Nasal congestion in adults,Accompanied by,Reduced sense of smell or taste
Nasal congestion in adults,Accompanied by,Runny nose
Nasal congestion in adults,Accompanied by,Sneezing
Nasal congestion in adults,Accompanied by,Snoring
Nasal congestion in adults,Accompanied by,Sore throat
Nasal congestion in adults,Accompanied by,Upper jaw or tooth pain
Nasal congestion in adults,Accompanied by,Watery eyes
Nausea or vomiting in adults,Triggered or worsened by,Drinking alcohol
Nausea or vomiting in adults,Triggered or worsened by,Eating certain foods
Nausea or vomiting in adults,Triggered or worsened by,Stress
Nausea or vomiting in adults,Triggered or worsened by,Travel or motion
Nausea or vomiting in adults,Onset is,Intermittent or episodic
Nausea or vomiting in adults,Onset is,Recent (few hours)
Nausea or vomiting in adults,Onset is,Recent (hours to days)
Nausea or vomiting in adults,Onset is,Sudden (minutes to hours)
Nausea or vomiting in adults,Accompanied by,Abdominal bloating or swelling
Nausea or vomiting in adults,Accompanied by,"Abdominal pain, discomfort or cramps"
Nausea or vomiting in adults,Accompanied by,Anxiety
Nausea or vomiting in adults,Accompanied by,Black or bloody stools
Nausea or vomiting in adults,Accompanied by,Chest pain or tightness
Nausea or vomiting in adults,Accompanied by,Constipation
Nausea or vomiting in adults,Accompanied by,Diarrhea
Nausea or vomiting in adults,Accompanied by,Difficulty breathing
Nausea or vomiting in adults,Accompanied by,Dizziness or fainting
Nausea or vomiting in adults,Accompanied by,Feeling of fullness after eating small amounts of food
Nausea or vomiting in adults,Accompanied by,Fever
Nausea or vomiting in adults,Accompanied by,Headache
Nausea or vomiting in adults,Accompanied by,Heartburn
Nausea or vomiting in adults,Accompanied by,Irregular or rapid heartbeat
Nausea or vomiting in adults,Accompanied by,Sweating
Nausea or vomiting in adults,Accompanied by,Unintended weight loss
Neck pain in adults,Pain started,Gradually
Neck pain in adults,Pain started,Suddenly
Neck pain in adults,Triggered or worsened by,Injury
Neck pain in adults,Triggered or worsened by,Physical exertion
Neck pain in adults,Triggered or worsened by,Poor posture
Neck pain in adults,Triggered or worsened by,Stress
Neck pain in adults,Accompanied by,Decreased range of motion or stiffness in neck
Neck pain in adults,Accompanied by,Headache
Neck pain in adults,Accompanied by,Loss of balance or coordination
Neck pain in adults,Accompanied by,Loss of bowel or bladder control
Neck pain in adults,Accompanied by,Muscle weakness
Neck pain in adults,Accompanied by,Numbness or tingling in limbs
Neck pain in adults,Accompanied by,"Shoulder, arm or chest pain"
Numbness or tingling in hands in adults,Numbness or tingling,Affects your fingers or hand
Numbness or tingling in hands in adults,Numbness or tingling,Is intermittent
Numbness or tingling in hands in adults,Numbness or tingling,Started gradually
Numbness or tingling in hands in adults,Numbness or tingling,Wakes you up at night
Numbness or tingling in hands in adults,Triggered by,Being in one position for a long time
Numbness or tingling in hands in adults,Triggered by,Repetitive use
Numbness or tingling in hands in adults,Relieved by,Rest
Numbness or tingling in hands in adults,Worsened by,Sleep
Numbness or tingling in hands in adults,Accompanied by,Arm or hand pain
Numbness or tingling in hands in adults,Accompanied by,Arm or hand weakness
Numbness or tingling in hands in adults,Accompanied by,Burning pain
Numbness or tingling in hands in adults,Accompanied by,Extreme sensitivity to touch
