Key,symptom,factor_group,factor,translation chinese,translation english,
"abdominal pain, pain is burning",Abdominal pain,Pain is,Burning,你的腹痛是感觉像在燃烧吗？（这种感觉可能类似灼热感，像有东西在腹部内部燃烧。）,"Does your abdominal pain feel like burning? (This sensation might be similar to a burning feeling, like something burning inside your abdomen.)",
"abdominal pain, pain is crampy",Abdominal pain,Pain is,Crampy,你的腹痛是感觉像有痉挛吗？（这种感觉可能像肌肉突然紧缩，造成一阵阵痛感。）,"Does your abdominal pain feel like cramping? (This sensation might feel like the muscles are suddenly contracting, causing waves of pain.)",
"abdominal pain, pain is dull",Abdominal pain,Pain is,Dull,你的腹痛是感觉钝痛吗？（这种痛感不尖锐，感觉像是持续的、沉重的痛。）,Does your abdominal pain feel dull? (This pain is not sharp; it feels continuous and heavy.),
"abdominal pain, pain is gnawing",Abdominal pain,Pain is,Gnawing,你的腹痛是感觉像被啃咬吗？（这种感觉可能像有东西在腹内啃咬，造成一种持续的不适。）,"Does your abdominal pain feel like gnawing? (This sensation might feel like something is gnawing inside the abdomen, causing persistent discomfort.)",
"abdominal pain, pain is intense",Abdominal pain,Pain is,Intense,你的腹痛感觉强烈吗？（这表示痛感很强，可能影响日常活动。）,"Is your abdominal pain intense? (This indicates that the pain is very strong, possibly affecting daily activities.)",
"abdominal pain, pain is intermittent or episodic",Abdominal pain,Pain is,Intermittent or episodic,你的腹痛是间歇性或发作性的吗？（这种痛感不是持续的，而是时有时无。）,Is your abdominal pain intermittent or episodic? (This pain is not continuous but comes and goes.),
"abdominal pain, pain is ongoing (chronic)",Abdominal pain,Pain is,Ongoing (chronic),你的腹痛是持续的（慢性的）吗？（这表示痛感持续存在，可能每天都感觉到。）,"Is your abdominal pain persistent (chronic)? (This indicates that the pain is continuously present, possibly felt every day.)",
"abdominal pain, pain is sharp",Abdominal pain,Pain is,Sharp,你的腹痛感觉尖锐吗？（这种痛感很尖锐，可能像刀割或针扎。）,"Does your abdominal pain feel sharp? (This pain is very sharp, possibly like a knife cutting or needle pricking.)",
"abdominal pain, pain is steady",Abdominal pain,Pain is,Steady,你的腹痛感觉稳定吗？（这种痛感持续而且强度不变。）,Is your abdominal pain steady? (This pain is continuous and the intensity does not change.),
"abdominal pain, pain is sudden (acute)",Abdominal pain,Pain is,Sudden (acute),你的腹痛是突然发生的（急性的）吗？（这表示痛感是突然出现的，可能之前没有任何征兆。）,"Is your abdominal pain sudden (acute)? (This indicates that the pain appeared suddenly, possibly without any prior signs.)",
"abdominal pain, pain is worsening or progressing",Abdominal pain,Pain is,Worsening or progressing,你的腹痛感觉在恶化或进展吗？（这表示痛感随时间加剧或症状变得更严重。）,Is your abdominal pain worsening or progressing? (This indicates that the pain is intensifying over time or the symptoms are becoming more severe.),
"abdominal pain, pain located in abdomen but radiates to other parts of the body",Abdominal pain,Pain located in,Abdomen but radiates to other parts of the body,你的腹痛位于腹部但放射到身体其他部分吗？（这表示虽然痛点在腹部，但痛感可以扩散到身体其他区域。）,"Is your abdominal pain located in the abdomen but radiates to other parts of the body? (This indicates that while the pain point is in the abdomen, the pain can spread to other areas of the body.)",
"abdominal pain, pain located in lower abdomen",Abdominal pain,Pain located in,Lower abdomen,你的腹痛位于下腹部吗？（这是指肚脐下面到骨盆上缘的区域。它和中腹部的主要区别在于位置更低，更接近骨盆。）,"Is your abdominal pain located in the lower abdomen? (This refers to the area below the belly button up to the upper edge of the pelvis. It is distinguished from the mid-abdominal region by its lower position, closer to the pelvis.)",
"abdominal pain, pain located in middle abdomen",Abdominal pain,Pain located in,Middle abdomen,你的腹痛位于中腹部吗？（这是指从肚脐周围，大致对应你的腰带位置。这个区域可能涉及到胃、小肠等器官，与上下腹部的区别在于，它处于腹部的中心区域。）,"Is your abdominal pain located in the mid-abdomen? (This refers to the area around the belly button, roughly corresponding to your belt line. This region might involve organs like the stomach and small intestine, distinct from the upper and lower abdomen, as it is in the central region of the abdomen.)",
"abdominal pain, pain located in one or both sides",Abdominal pain,Pain located in,One or both sides,你的腹痛位于一侧或双侧吗？（这是指你的腹部左边或右边，或者两边都有痛感。如果痛在一侧，可能是那一侧的器官有问题；如果两侧都痛，可能是跨越中线的器官如小肠有问题。与中腹部相比，这个痛感更具侧重性，可能只在腹部的一边或两边边缘部位。）,"Is your abdominal pain on one side or both sides? (This refers to whether the pain is on the left or right side of the abdomen or on both sides. Pain on one side might indicate an issue with an organ on that side; pain on both sides could be related to an organ that crosses the midline like the small intestine. Compared to mid-abdominal pain, this pain is more lateralized, possibly only on one or both edges of the abdomen.)",
"abdominal pain, pain located in upper abdomen",Abdominal pain,Pain located in,Upper abdomen,你的腹痛位于上腹部吗？（这是指从胸骨下端到肚脐的区域，大致是你穿衣服时衬衫与裤子接触的区域上方。这个区域可能涉及到胃、肝、胆囊等器官。与中腹部和下腹部的区别在于，它位于更高的位置，靠近胸部。）,"Is your abdominal pain located in the upper abdomen? (This refers to the area from the bottom of the sternum to the belly button, roughly above where your shirt meets your pants. This region might involve organs like the stomach, liver, and gallbladder. It is distinct from the mid and lower abdomen as it is positioned higher, closer to the chest.)",
"abdominal pain, triggered or worsened by coughing or other jarring movements",Abdominal pain,Triggered or worsened by,Coughing or other jarring movements,你的腹痛是由咳嗽或其他剧烈动作引发或加剧的吗？,Is your abdominal pain triggered or worsened by coughing or other vigorous movements?,
"abdominal pain, triggered or worsened by drinking alcohol",Abdominal pain,Triggered or worsened by,Drinking alcohol,你的腹痛是饮酒后引发或加剧的吗？,Is your abdominal pain triggered or worsened after drinking alcohol?,
"abdominal pain, triggered or worsened by eating certain foods",Abdominal pain,Triggered or worsened by,Eating certain foods,你的腹痛是吃了特定食物后引发或加剧的吗？,Is your abdominal pain triggered or worsened after eating certain foods?,
"abdominal pain, triggered or worsened by menstrual cycle",Abdominal pain,Triggered or worsened by,Menstrual cycle,你的腹痛是在经期期间引发或加剧的吗？,Is your abdominal pain triggered or worsened during your menstrual period?,
"abdominal pain, triggered or worsened by stress",Abdominal pain,Triggered or worsened by,Stress,你的腹痛是在压力下引发或加剧的吗？,Is your abdominal pain triggered or worsened under stress?,
"abdominal pain, relieved by antacids",Abdominal pain,Relieved by,Antacids,你的腹痛会因为服用抗酸剂而缓解吗？,Does your abdominal pain get relieved by taking antacids?,
"abdominal pain, relieved by avoiding certain foods",Abdominal pain,Relieved by,Avoiding certain foods,你的腹痛会因为避免特定食物而缓解吗？,Does your abdominal pain get relieved by avoiding certain foods?,
"abdominal pain, relieved by changing position",Abdominal pain,Relieved by,Changing position,你的腹痛会因为改变体位而缓解吗？,Does your abdominal pain get relieved by changing body positions?,
"abdominal pain, relieved by drinking more water",Abdominal pain,Relieved by,Drinking more water,你的腹痛会因为增加饮水量而缓解吗？,Does your abdominal pain get relieved by increasing water intake?,
"abdominal pain, relieved by eating certain foods",Abdominal pain,Relieved by,Eating certain foods,你的腹痛会因为吃特定食物而缓解吗？,Does your abdominal pain get relieved by eating specific foods?,
"abdominal pain, relieved by eating more fiber",Abdominal pain,Relieved by,Eating more fiber,你的腹痛会因为增加膳食纤维而缓解吗？,Does your abdominal pain get relieved by increasing dietary fiber?,
"abdominal pain, accompanied by abdominal swelling",Abdominal pain,Accompanied by,Abdominal swelling,你的腹痛伴随腹部肿胀吗？,Does your abdominal pain come with abdominal bloating?,
"abdominal pain, accompanied by black or bloody stools",Abdominal pain,Accompanied by,Black or bloody stools,你的腹痛伴随黑色或带血的大便吗？,Does your abdominal pain come with black or bloody stools?,
"abdominal pain, accompanied by constipation",Abdominal pain,Accompanied by,Constipation,你的腹痛伴随便秘吗？,Does your abdominal pain come with constipation?,
"abdominal pain, accompanied by diarrhea",Abdominal pain,Accompanied by,Diarrhea,你的腹痛伴随腹泻吗？,Does your abdominal pain come with diarrhea?,
"abdominal pain, accompanied by fever",Abdominal pain,Accompanied by,Fever,你的腹痛伴随发热吗？,Does your abdominal pain come with fever?,
"abdominal pain, accompanied by inability to move bowels in spite of urge",Abdominal pain,Accompanied by,Inability to move bowels in spite of urge,在腹痛时，尽管有排便的冲动，你却无法排便吗？,"During abdominal pain, do you feel the urge to defecate but are unable to do so?",
"abdominal pain, accompanied by loose, watery stools",Abdominal pain,Accompanied by,"Loose, watery stools",你的腹痛伴随稀水样大便吗？,Does your abdominal pain come with watery stools?,
"abdominal pain, accompanied by nausea or vomiting",Abdominal pain,Accompanied by,Nausea or vomiting,你的腹痛伴随恶心或呕吐吗？,Does your abdominal pain come with nausea or vomiting?,
"abdominal pain, accompanied by passing gas",Abdominal pain,Accompanied by,Passing gas,你的腹痛伴随放屁吗？,Does your abdominal pain come with flatulence?,
"abdominal pain, accompanied by pulsing sensation near the navel",Abdominal pain,Accompanied by,Pulsing sensation near the navel,你的腹痛伴随脐部附近的脉动感吗？,Does your abdominal pain come with a pulsating sensation near the navel?,
"abdominal pain, accompanied by rash",Abdominal pain,Accompanied by,Rash,你的腹痛伴随皮疹吗？,Does your abdominal pain come with a rash?,
"abdominal pain, accompanied by stomach growling or rumbling",Abdominal pain,Accompanied by,Stomach growling or rumbling,你的腹痛伴随肠鸣音或胃咕噜声吗？,Does your abdominal pain come with bowel sounds or stomach gurgling?,
"abdominal pain, accompanied by unintended weight loss",Abdominal pain,Accompanied by,Unintended weight loss,你的腹痛伴随意外的体重下降吗？,Does your abdominal pain come with unexpected weight loss?,
"abdominal pain, accompanied by urgent need to have a bowel movement",Abdominal pain,Accompanied by,Urgent need to have a bowel movement,你的腹痛伴随急迫的排便需求吗？,Does your abdominal pain come with an urgent need to defecate?,
"blood in stool, blood appears in or on the stool",Blood in stool,Blood appears,In or on the stool,请问你的便血是指可以在大便内部或表面看到鲜红色的血迹或者黑色的血迹吗？,Does your blood in stool mean you can see fresh red or black blood inside or on the surface of the stool?,
"blood in stool, blood appears in toilet bowl or on toilet tissue",Blood in stool,Blood appears,In toilet bowl or on toilet tissue,请问你的便血是指可以在卫生纸上擦出血迹，或者在马桶中看到血迹吗（例如马桶中的水会变成粉红色）,"Does your blood in stool mean you can find blood on toilet paper or see blood in the toilet (e.g., the water turns pink)?",
"blood in stool, triggered or worsened by drinking alcohol or caffeine",Blood in stool,Triggered or worsened by,Drinking alcohol or caffeine,请问你是在饮用酒精或咖啡后发现大便中有血的情况吗？ ,Do you find blood in your stool after consuming alcohol or coffee?,
"blood in stool, triggered or worsened by eating certain foods",Blood in stool,Triggered or worsened by,Eating certain foods,请问你是在吃某些特定的食物后会发现大便中有血吗？,Do you find blood in your stool after eating certain foods?,
"blood in stool, triggered or worsened by straining during bowel movements",Blood in stool,Triggered or worsened by,Straining during bowel movements,请问在排便时用力过度会导致你大便中出现血吗？ ,Does straining too much during defecation cause blood in your stool?,
"blood in stool, relieved by drinking more water",Blood in stool,Relieved by,Drinking more water,请问多喝水是否能缓解你大便中的出血状况？,Does drinking more water alleviate bleeding in your stool?,
"blood in stool, relieved by eating certain foods",Blood in stool,Relieved by,Eating certain foods,请问吃特定食物是否能缓解你大便中的出血状况？ ,Does eating specific foods alleviate bleeding in your stool?,
"blood in stool, relieved by eating more fiber",Blood in stool,Relieved by,Eating more fiber,请问增加纤维素的摄入是否能缓解你大便中的出血状况？,Does increasing your intake of fiber alleviate bleeding in your stool?,
"blood in stool, accompanied by abdominal pain or cramping",Blood in stool,Accompanied by,Abdominal pain or cramping,请问你在大便中发现血时，伴随有腹痛或痉挛吗？ ,"When you find blood in your stool, do you also have abdominal pain or cramping?",
"blood in stool, accompanied by anal itching",Blood in stool,Accompanied by,Anal itching,请问你在大便中发现血时，伴有肛门瘙痒吗？,"When you find blood in your stool, do you have anal itching?",
"blood in stool, accompanied by change in bowel habits that lasts longer than four weeks",Blood in stool,Accompanied by,Change in bowel habits that lasts longer than four weeks,请问你在大便中发现血时，是否伴随超过四周的排便习惯改变？ ,"When you find blood in your stool, do you also have a change in bowel habits lasting more than four weeks?",
"blood in stool, accompanied by change in your bowel habits",Blood in stool,Accompanied by,Change in your bowel habits,请问你在大便中发现血时，是否有排便习惯的改变？,"When you find blood in your stool, do you have a change in bowel habits?",
"blood in stool, accompanied by constipation",Blood in stool,Accompanied by,Constipation,请问你在大便中发现血时，伴有便秘吗？ ,"When you find blood in your stool, do you have constipation?",
"blood in stool, accompanied by diarrhea",Blood in stool,Accompanied by,Diarrhea,请问你在大便中发现血时，伴有腹泻吗？ ,"When you find blood in your stool, do you have diarrhea?",
"blood in stool, accompanied by fatigue or weakness",Blood in stool,Accompanied by,Fatigue or weakness,请问你在大便中发现血时，感觉疲劳或虚弱吗？ ,"When you find blood in your stool, do you feel tired or weak?",
"blood in stool, accompanied by fever",Blood in stool,Accompanied by,Fever,请问你在大便中发现血时，伴有发热吗？ ,"When you find blood in your stool, do you have a fever?",
"blood in stool, accompanied by frequent urge to have bowel movement",Blood in stool,Accompanied by,Frequent urge to have bowel movement,请问你在大便中发现血时，是否经常有排便的冲动？,"When you find blood in your stool, do you often feel the urge to defecate?",
"blood in stool, accompanied by narrow stools",Blood in stool,Accompanied by,Narrow stools,请问你在大便中发现血时，是否伴有大便变细？ ,"When you find blood in your stool, is your stool narrower than usual?",
"blood in stool, accompanied by nausea or vomiting",Blood in stool,Accompanied by,Nausea or vomiting,请问你在大便中发现血时，伴有恶心或呕吐吗？ ,"When you find blood in your stool, do you have nausea or vomiting?",
"blood in stool, accompanied by painful bowel movements",Blood in stool,Accompanied by,Painful bowel movements,请问你在大便中发现血时，排便是否疼痛？ ,"When you find blood in your stool, is defecation painful?",
"blood in stool, accompanied by persistent abdominal discomfort, such as cramps, gas or pain",Blood in stool,Accompanied by,"Persistent abdominal discomfort, such as cramps, gas or pain",请问你在大便中发现血时，是否有持续的腹部不适，如痉挛、胀气或疼痛？ ,"When you find blood in your stool, do you have persistent abdominal discomfort, like cramps, bloating, or pain?",
"blood in stool, accompanied by rectal pain",Blood in stool,Accompanied by,Rectal pain,请问你在大便中发现血时，伴有直肠疼痛吗？,"When you find blood in your stool, do you have rectal pain?",
"blood in stool, accompanied by unintended weight loss",Blood in stool,Accompanied by,Unintended weight loss,请问你在大便中发现血时，是否伴有意外的体重减轻？ ,"When you find blood in your stool, do you experience unexpected weight loss?",
"chest pain, pain best described as achy or gnawing",Chest pain,Pain best described as,Achy or gnawing,请问你胸部的疼痛感是不是类似于酸痛或啃咬感？,Does your chest pain feel like soreness or gnawing?,
"chest pain, pain best described as burning",Chest pain,Pain best described as,Burning,请问你胸部的疼痛感是不是类似于灼热感？,Does your chest pain feel like a burning sensation?,
"chest pain, pain best described as severe",Chest pain,Pain best described as,Severe,请问你的胸部疼痛非常严重吗？,Is your chest pain very severe?,
"chest pain, pain best described as sharp",Chest pain,Pain best described as,Sharp,请问你的胸部疼痛是不是尖锐的？,Is your chest pain sharp?,
"chest pain, pain best described as squeezing or pressure",Chest pain,Pain best described as,Squeezing or pressure,请问你的胸痛是不是类似于被挤压导致的疼痛？,Does your chest pain feel like it's being squeezed?,
"chest pain, pain best described as sudden",Chest pain,Pain best described as,Sudden,请问你的胸部疼痛是不是突然出现的？,Did your chest pain appear suddenly?,
"chest pain, pain best described as tight",Chest pain,Pain best described as,Tight,请问你的胸部有没有感到紧绷？,Does your chest feel tight?,
"chest pain, problem is ongoing or recurrent",Chest pain,Problem is,Ongoing or recurrent,请问你的胸部疼痛是持续性或者反复发作的吗？,Is your chest pain constant or recurring?,
"chest pain, problem is preceded by upper respiratory illness",Chest pain,Problem is,Preceded by upper respiratory illness,请问你的胸部疼痛发生前有没有上呼吸道感染？,Did you have an upper respiratory infection before your chest pain started?,
"chest pain, triggered or worsened by allergens or irritants",Chest pain,Triggered or worsened by,Allergens or irritants,请问您的胸痛是否由过敏原或刺激物引发或加重？,Is your chest pain triggered or worsened by allergens or irritants?,
"chest pain, triggered or worsened by eating or drinking",Chest pain,Triggered or worsened by,Eating or drinking,请问您的胸痛是否在进食或饮水后被引发或加重？,Is your chest pain triggered or worsened after eating or drinking?,
"chest pain, triggered or worsened by exertion",Chest pain,Triggered or worsened by,Exertion,请问您的胸痛是否在劳累后被引发或加重？,Is your chest pain triggered or worsened after physical exertion?,
"chest pain, triggered or worsened by exposure to cold air",Chest pain,Triggered or worsened by,Exposure to cold air,请问您的胸痛是否在接触冷空气后被引发或加重？,Is your chest pain triggered or worsened after exposure to cold air?,
"chest pain, triggered or worsened by lying down for a long period",Chest pain,Triggered or worsened by,Lying down for a long period,请问您的胸痛是否在长时间平躺后被引发或加重？,Is your chest pain triggered or worsened after lying flat for a long time?,
"chest pain, triggered or worsened by mild to moderate exertion",Chest pain,Triggered or worsened by,Mild to moderate exertion,请问您的胸痛是否在轻度到中度劳累后被引发或加重？,Is your chest pain triggered or worsened after light to moderate exertion?,
"chest pain, triggered or worsened by pressing on chest wall",Chest pain,Triggered or worsened by,Pressing on chest wall,请问您的胸痛是否在按压胸壁时被引发或加重？,Is your chest pain triggered or worsened when pressing on the chest wall?,
"chest pain, triggered or worsened by smoking",Chest pain,Triggered or worsened by,Smoking,请问您的胸痛是否在吸烟后被引发或加重？,Is your chest pain triggered or worsened after smoking?,
"chest pain, triggered or worsened by stress",Chest pain,Triggered or worsened by,Stress,请问您的胸痛是否在经历压力后被引发或加重？这可能表现为在精神紧张或压力增大时胸痛加剧。,Is your chest pain triggered or worsened after experiencing stress? This may manifest as chest pain intensifying during times of mental tension or increased stress.,
"chest pain, triggered or worsened by taking a deep breath",Chest pain,Triggered or worsened by,Taking a deep breath,请问您的胸痛是否在深呼吸时被引发或加重？,Is your chest pain triggered or worsened during deep breaths?,
"chest pain, relieved by antacids",Chest pain,Relieved by,Antacids,请问服用抗酸药后你的胸部疼痛有没有缓解？,Does your chest pain ease after taking antacids?,
"chest pain, relieved by bending forward",Chest pain,Relieved by,Bending forward,请问向前弯腰后你的胸部疼痛有没有缓解？,Does your chest pain ease after leaning forward?,
"chest pain, relieved by rest",Chest pain,Relieved by,Rest,请问休息后你的胸部疼痛有没有缓解？,Does your chest pain ease after resting?,
"chest pain, accompanied by anxiety",Chest pain,Accompanied by,Anxiety,请问你的胸部疼痛伴随着焦虑吗？,Is your chest pain accompanied by anxiety?,
"chest pain, accompanied by belching",Chest pain,Accompanied by,Belching,请问你的胸部疼痛时会不会打嗝？,Do you experience belching when you have chest pain?,
"chest pain, accompanied by cough with blood or phlegm",Chest pain,Accompanied by,Cough with blood or phlegm,请问你的胸部疼痛时伴有咳血或痰吗？,Is your chest pain accompanied by coughing up blood or phlegm?,
"chest pain, accompanied by difficult or painful swallowing",Chest pain,Accompanied by,Difficult or painful swallowing,请问你的胸部疼痛时伴随有吞咽困难或疼痛吗？,Is your chest pain accompanied by difficulty swallowing or pain while swallowing?,
"chest pain, accompanied by dry cough",Chest pain,Accompanied by,Dry cough,请问你的胸部疼痛时伴有干咳吗？,Is your chest pain accompanied by a dry cough?,
"chest pain, accompanied by fainting or dizziness",Chest pain,Accompanied by,Fainting or dizziness,请问你的胸部疼痛时伴随有晕厥或眩晕吗？,Is your chest pain accompanied by fainting or dizziness?,
"chest pain, accompanied by fever",Chest pain,Accompanied by,Fever,请问你的胸部疼痛时伴有发热吗？,Is your chest pain accompanied by fever?,
"chest pain, accompanied by headache",Chest pain,Accompanied by,Headache,请问你的胸部疼痛时伴有头痛吗？,Is your chest pain accompanied by headache?,
"chest pain, accompanied by nausea or vomiting",Chest pain,Accompanied by,Nausea or vomiting,请问你的胸部疼痛时伴有恶心或呕吐吗？,Is your chest pain accompanied by nausea or vomiting?,
"chest pain, accompanied by pain in neck, jaw, arms, shoulders or back",Chest pain,Accompanied by,"Pain in neck, jaw, arms, shoulders or back",请问你的胸部疼痛时伴有颈部、颌部、手臂、肩膀或背部的疼痛吗？,"Is your chest pain accompanied by pain in the neck, jaw, arms, shoulders, or back?",
"chest pain, accompanied by rapid or irregular heartbeat",Chest pain,Accompanied by,Rapid or irregular heartbeat,请问你的胸部疼痛时伴有心跳快或不规律吗？,Is your chest pain accompanied by rapid or irregular heartbeat?,
"chest pain, accompanied by shortness of breath",Chest pain,Accompanied by,Shortness of breath,请问你的胸部疼痛时伴有呼吸急促吗？,Is your chest pain accompanied by shortness of breath?,
"chest pain, accompanied by sweating",Chest pain,Accompanied by,Sweating,请问你的胸部疼痛时伴有出汗吗？,Is your chest pain accompanied by sweating?,
"chest pain, accompanied by unexplained fatigue",Chest pain,Accompanied by,Unexplained fatigue,请问你的胸部疼痛时伴有无法解释的疲劳吗？,Is your chest pain accompanied by unexplained fatigue?,
"chest pain, accompanied by wheezing",Chest pain,Accompanied by,Wheezing,请问你的胸部疼痛时伴有哮鸣吗？,Is your chest pain accompanied by wheezing?,
"constipation, blood appears in or on the stool",Constipation,Blood appears,In or on the stool,请问您便秘时，大便表面或中间有血迹吗？,"When you are constipated, is there blood on the surface or in the middle of your stool?",
"constipation, problem is ongoing or recurrent",Constipation,Problem is,Ongoing or recurrent,请问您的便秘问题是持续性或反复发生的吗？,Is your constipation chronic or recurrent?,
"constipation, problem is recent",Constipation,Problem is,Recent,请问您的便秘问题是最近发生的吗？,Is your constipation a recent occurrence?,
"constipation, problem is worsening or progressing",Constipation,Problem is,Worsening or progressing,请问您的便秘问题正在恶化吗？,Is your constipation getting worse?,
"constipation, accompanied by abdominal pain",Constipation,Accompanied by,Abdominal pain,请问您便秘时伴有腹痛吗？,Do you experience abdominal pain when constipated?,
"constipation, accompanied by anal or rectal pain",Constipation,Accompanied by,Anal or rectal pain,请问您便秘时伴有肛门或直肠疼痛吗？,Do you experience anal or rectal pain when constipated?,
"constipation, accompanied by bloody stools",Constipation,Accompanied by,Bloody stools,请问您便秘时伴有血便吗？（血和大便混合在一起）,Do you experience bloody stools when constipated? (Blood mixed with the stool),
"constipation, accompanied by change in bowel habits that lasts longer than four weeks",Constipation,Accompanied by,Change in bowel habits that lasts longer than four weeks,请问您便秘伴随的大便习惯改变持续超过四周了吗？,Has the change in your bowel habits accompanying constipation lasted more than four weeks?,
"constipation, accompanied by constipation",Constipation,Accompanied by,Constipation,请问您便秘伴随着腹胀吗？,Do you experience bloating with constipation?,
"constipation, accompanied by cramping",Constipation,Accompanied by,Cramping,请问您便秘时伴有痉挛吗？,Do you experience cramps with constipation?,
"constipation, accompanied by diarrhea",Constipation,Accompanied by,Diarrhea,请问您便秘时伴有腹泻吗？,Do you experience diarrhea with constipation?,
"constipation, accompanied by fatigue or weakness",Constipation,Accompanied by,Fatigue or weakness,请问您便秘时感到虚弱吗？,Do you feel weak when you are constipated?,
"constipation, accompanied by fever",Constipation,Accompanied by,Fever,请问您便秘时伴有发热吗？,Do you have a fever when you are constipated?,
"constipation, accompanied by gas",Constipation,Accompanied by,Gas,请问您便秘时伴有气体积聚吗？,Do you have gas build-up when you are constipated?,
"constipation, accompanied by increased sensitivity to cold",Constipation,Accompanied by,Increased sensitivity to cold,请问您便秘时对寒冷更敏感了吗？,Are you more sensitive to cold when you are constipated?,
"constipation, accompanied by mucus in stools",Constipation,Accompanied by,Mucus in stools,请问您便秘时大便中有黏液吗？,Is there mucus in your stool when you are constipated?,
"constipation, accompanied by muscle or joint aches",Constipation,Accompanied by,Muscle or joint aches,请问您便秘时伴有肌肉或关节疼痛吗？,Do you experience muscle or joint pain when you are constipated?,
"constipation, accompanied by muscle weakness",Constipation,Accompanied by,Muscle weakness,请问您便秘时伴有肌肉无力吗？,Do you experience muscle weakness when you are constipated?,
"constipation, accompanied by narrow stools",Constipation,Accompanied by,Narrow stools,请问您便秘时伴有大便变细吗？,Is your stool thinner when you are constipated?,
"constipation, accompanied by nausea or vomiting",Constipation,Accompanied by,Nausea or vomiting,请问您便秘时伴有恶心或呕吐吗？,Do you experience nausea or vomiting when you are constipated?,
"constipation, accompanied by painful bowel movements",Constipation,Accompanied by,Painful bowel movements,请问您的排便过程疼痛吗？,Is your bowel movement painful?,
"constipation, accompanied by pale, dry skin",Constipation,Accompanied by,"Pale, dry skin",请问您便秘时伴有皮肤苍白且干燥吗？,Do you have pale and dry skin when you are constipated?,
"constipation, accompanied by persistent abdominal discomfort, such as cramps, gas or pain",Constipation,Accompanied by,"Persistent abdominal discomfort, such as cramps, gas or pain",请问您便秘时伴有持续的腹部不适，如痉挛、气体或疼痛吗？,"Do you have continuous abdominal discomfort, such as cramps, gas, or pain when you are constipated?",
"constipation, accompanied by unexplained fatigue",Constipation,Accompanied by,Unexplained fatigue,请问您便秘时无缘无故感到疲劳吗？,Do you feel unexplained fatigue when you are constipated?,
"constipation, accompanied by unintended weight gain",Constipation,Accompanied by,Unintended weight gain,请问您便秘时伴有意外的体重增加吗？,Have you experienced unexpected weight gain when you are constipated?,
"constipation, accompanied by unintended weight loss",Constipation,Accompanied by,Unintended weight loss,请问您便秘时伴有意外的体重减轻吗？,Have you experienced unexpected weight loss when you are constipated?,
"cough, cough is dry",Cough,Cough is,Dry,请问你有干咳的症状吗？干咳指的是咳嗽时没有痰液的分泌。,Do you have symptoms of a dry cough? A dry cough is characterized by coughing without mucus secretion.,
